"","country","city","date","id","neighbourhood_cleansed","latitude","longitude","property_type","room_type","accommodates","bedrooms","beds","price","minimum_nights","maximum_nights","availability_30","price_30","revenue_30"
"1","portugal","lisbon",2020-06-23,6499,"Belm",38.6975,-9.19768,"Apartment","Entire home/apt",3,1,1,40,3,365,23,79,553
"2","portugal","lisbon",2020-06-23,25659,"Santa Maria Maior",38.71167,-9.12696,"Apartment","Entire home/apt",3,1,1,55,3,21,30,0,0
"3","portugal","lisbon",2020-06-23,29248,"Santa Maria Maior",38.71272,-9.12628,"Apartment","Entire home/apt",4,1,2,60,1,1125,0,44,1320
"4","portugal","lisbon",2020-06-23,29396,"Santa Maria Maior",38.71239,-9.12887,"Apartment","Entire home/apt",4,1,1,60,2,1125,7,44.5217391304348,1024
"5","portugal","lisbon",2020-06-23,29720,"Estrela",38.71195,-9.15877,"Apartment","Entire home/apt",16,9,14,1100,2,730,28,1300,2600
"6","portugal","lisbon",2020-06-23,29915,"Avenidas Novas",38.74712,-9.15286,"Apartment","Entire home/apt",3,1,0,45,5,365,0,50.4,1512
"7","portugal","lisbon",2020-06-23,33348,"Lumiar",38.76381,-9.15256,"Apartment","Private room",6,1,3,40,1,730,0,40,1200
"8","portugal","lisbon",2020-06-23,40817,"Misericrdia",38.70898,-9.14312,"Apartment","Entire home/apt",2,1,1,70,1,1125,30,0,0
"9","portugal","lisbon",2020-06-23,42519,"Misericrdia",38.71082,-9.1509,"Apartment","Entire home/apt",2,1,1,50,1,1125,0,70.2333333333333,2107
"10","portugal","lisbon",2020-06-23,48025,"Misericrdia",38.71309,-9.14392,"Apartment","Entire home/apt",2,1,0,65,5,365,30,0,0
"11","portugal","lisbon",2020-06-23,48058,"Cascais e Estoril",38.6965,-9.42571,"House","Entire home/apt",4,1,2,80,5,1125,29,80,80
"12","portugal","lisbon",2020-06-23,48854,"S.Maria, S.Miguel, S.Martinho, S.Pedro Penaferrim",38.8038,-9.3797,"Apartment","Entire home/apt",7,4,6,170,5,31,24,130,780
"13","portugal","lisbon",2020-06-23,49366,"S.Maria, S.Miguel, S.Martinho, S.Pedro Penaferrim",38.80589,-9.38532,"Apartment","Entire home/apt",2,1,1,55,3,90,25,55,275
"14","portugal","lisbon",2020-06-23,49673,"Alenquer (Santo Estvo e Triana)",39.05965,-9.04733,"Cottage","Entire home/apt",8,4,7,200,7,30,23,200,1400
"15","portugal","lisbon",2020-06-23,50108,"Estrela",38.70388,-9.1652,"Apartment","Entire home/apt",4,1,1,60,2,365,28,85,170
"16","portugal","lisbon",2020-06-23,52298,"Misericrdia",38.71213,-9.14921,"Apartment","Entire home/apt",2,2,0,310,1,730,30,0,0
