"","country","city","date","id","neighbourhood_cleansed","latitude","longitude","property_type","room_type","accommodates","bedrooms","beds","price","minimum_nights","maximum_nights","availability_30","price_30","revenue_30"
"1","portugal","porto",2020-08-27,41339,"Lordelo do Ouro e Massarelos",41.1501,-8.66035,"Entire apartment","Entire home/apt",5,1,3,85,5,120,0,83.6666666666667,2510
"2","portugal","porto",2020-08-27,42462,"Mafamude e Vilar do Paraíso",41.10739,-8.5943,"Entire apartment","Entire home/apt",6,3,5,73,30,365,0,72.5,2175
"3","portugal","porto",2020-08-27,55111,"Cete",41.17481,-8.35362,"Entire apartment","Entire home/apt",5,2,5,101,3,60,0,74.1666666666667,2225
"4","portugal","porto",2020-08-27,73828,"Cete",41.17449,-8.35426,"Entire apartment","Entire home/apt",5,2,5,101,3,60,0,74.1666666666667,2225
"5","portugal","porto",2020-08-27,76436,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.13951,-8.61453,"Entire apartment","Entire home/apt",3,1,2,89,2,540,26,89,356
"6","portugal","porto",2020-08-27,86388,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14918,-8.60922,"Private room in apartment","Private room",2,1,1,20,3,31,0,20,600
"7","portugal","porto",2020-08-27,87873,"Bonfim",41.15786,-8.60427,"Entire apartment","Entire home/apt",4,2,2,63,2,14,30,0,0
"8","portugal","porto",2020-08-27,91439,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14908,-8.60905,"Private room in apartment","Private room",2,1,1,18,3,31,0,18,540
"9","portugal","porto",2020-08-27,94701,"Bonfim",41.14707,-8.60109,"Entire apartment","Entire home/apt",3,1,1,63,3,365,17,50.5384615384615,657
"10","portugal","porto",2020-08-27,96394,"Canidelo",41.1411,-8.65148,"Boat","Entire home/apt",4,2,2,214,1,5,29,200,200
"11","portugal","porto",2020-08-27,100521,"Gulpilhares e Valadares",41.07378,-8.65368,"Private room in apartment","Private room",1,1,1,80,1,730,30,0,0
"12","portugal","porto",2020-08-27,100661,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14908,-8.60905,"Private room in apartment","Private room",2,1,2,18,3,365,0,18,540
"13","portugal","porto",2020-08-27,104045,"Bonfim",41.15877,-8.59893,"Entire apartment","Entire home/apt",10,5,6,90,4,120,26,90,360
"14","portugal","porto",2020-08-27,105347,"Oliveira do Douro",41.12961,-8.58427,"Entire guesthouse","Entire home/apt",4,2,3,50,3,28,0,50,1500
"15","portugal","porto",2020-08-27,108153,"Anta e Guetim",40.99902,-8.6163,"Private room in guesthouse","Private room",2,1,0,54,1,1125,30,0,0
"16","portugal","porto",2020-08-27,113586,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14602,-8.61447,"Entire apartment","Entire home/apt",3,1,2,51,4,60,5,47.8,1195
"17","portugal","porto",2020-08-27,122362,"Paranhos",41.17563,-8.62323,"Entire house","Entire home/apt",9,4,6,109.71,2,730,26,125.25,501
"18","portugal","porto",2020-08-27,125872,"Mafamude e Vilar do Paraíso",41.12424,-8.61346,"Private room in apartment","Private room",2,1,0,54,1,365,30,0,0
"19","portugal","porto",2020-08-27,127208,"Campanhã",41.1546,-8.58985,"Private room in house","Private room",4,1,3,26,2,30,14,26.375,422
"20","portugal","porto",2020-08-27,128557,"Santa Marinha e São Pedro da Afurada",41.12557,-8.61512,"Private room in apartment","Private room",2,1,1,25,1,365,24,25,150
"21","portugal","porto",2020-08-27,131994,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14993,-8.6151,"Entire apartment","Entire home/apt",2,1,1,30,3,365,15,23.2,348
"22","portugal","porto",2020-08-27,133099,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.1506,-8.61391,"Entire apartment","Entire home/apt",4,1,2,35.71,3,365,1,31.3793103448276,910
"23","portugal","porto",2020-08-27,133803,"Canidelo",41.1277,-8.66321,"Entire condominium","Entire home/apt",6,2,5,128,1,1125,0,153.333333333333,4600
"24","portugal","porto",2020-08-27,134570,"Madalena",41.1041,-8.65946,"Entire apartment","Entire home/apt",6,3,4,199,2,27,27,190,570
"25","portugal","porto",2020-08-27,139425,"Bonfim",41.14622,-8.59423,"Entire apartment","Entire home/apt",6,1,4,51,1,365,3,51,1377
"26","portugal","porto",2020-08-27,141255,"São Mamede de Infesta e Senhora da Hora",41.19279,-8.66029,"Private room in apartment","Private room",2,2,2,75,2,31,28,81.5,163
"27","portugal","porto",2020-08-27,147502,"Lourosa",40.98939,-8.53652,"Private room in house","Private room",1,1,1,42,1,730,30,0,0
"28","portugal","porto",2020-08-27,155127,"Gondomar (São Cosme), Valbom e Jovim",41.12465,-8.54445,"Entire apartment","Entire home/apt",6,3,5,57,3,31,30,0,0
"29","portugal","porto",2020-08-27,155723,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.15889,-8.61002,"Entire house","Entire home/apt",5,3,3,80,3,30,0,80,2400
"30","portugal","porto",2020-08-27,157115,"Ramalde",41.16838,-8.62786,"Private room in apartment","Private room",2,1,1,25,2,365,30,0,0
"31","portugal","porto",2020-08-27,165699,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14822,-8.61476,"Entire apartment","Entire home/apt",10,5,5,303,2,90,30,0,0
"32","portugal","porto",2020-08-27,169321,"Bonfim",41.14536,-8.59792,"Entire apartment","Entire home/apt",6,2,4,89,3,365,30,0,0
"33","portugal","porto",2020-08-27,173827,"Lordelo do Ouro e Massarelos",41.16188,-8.66014,"Entire condominium","Entire home/apt",4,1,3,56,3,180,27,60,180
"34","portugal","porto",2020-08-27,186655,"Lordelo do Ouro e Massarelos",41.15206,-8.65228,"Entire townhouse","Entire home/apt",6,3,5,65,2,15,27,65,195
"35","portugal","porto",2020-08-27,186946,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14087,-8.61703,"Entire apartment","Entire home/apt",2,1,1,102,2,180,15,125,1875
"36","portugal","porto",2020-08-27,187740,"São João de Ver",40.95188,-8.56173,"Private room in apartment","Private room",2,1,2,50,1,10,30,0,0
"37","portugal","porto",2020-08-27,189368,"Azurara",41.33771,-8.74118,"Entire condominium","Entire home/apt",5,2,4,110,2,15,12,98.6111111111111,1775
"38","portugal","porto",2020-08-27,191005,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.15276,-8.60847,"Entire apartment","Entire home/apt",6,2,4,86,3,120,30,0,0
"39","portugal","porto",2020-08-27,207475,"Santa Marinha e São Pedro da Afurada",41.13109,-8.61375,"Entire loft","Entire home/apt",2,0,1,31,2,15,0,31,930
"40","portugal","porto",2020-08-27,208147,"Fornelo e Vairão",41.32667,-8.65956,"Private room in house","Private room",2,1,2,30,4,730,1,30,870
"41","portugal","porto",2020-08-27,211588,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.16241,-8.62719,"Private room in house","Private room",7,1,2,26,2,365,26,25.5,102
"42","portugal","porto",2020-08-27,234655,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14961,-8.61987,"Entire apartment","Entire home/apt",4,1,2,56,2,540,20,56.8,568
"43","portugal","porto",2020-08-27,241573,"Bonfim",41.14776,-8.60194,"Entire apartment","Entire home/apt",5,2,4,88.57,2,365,14,80.8125,1293
"44","portugal","porto",2020-08-27,241574,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14645,-8.60293,"Entire apartment","Entire home/apt",3,1,2,54,2,365,7,53.8260869565217,1238
"45","portugal","porto",2020-08-27,241742,"Bonfim",41.14831,-8.6004,"Entire apartment","Entire home/apt",5,2,3,73,2,365,19,77.6363636363636,854
"46","portugal","porto",2020-08-27,241743,"Bonfim",41.14654,-8.59991,"Entire apartment","Entire home/apt",3,1,2,53,2,365,7,51.2173913043478,1178
"47","portugal","porto",2020-08-27,248537,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14765,-8.61876,"Entire apartment","Entire home/apt",4,1,1,73,3,365,11,71.5789473684211,1360
"48","portugal","porto",2020-08-27,250828,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.1464,-8.60216,"Entire apartment","Entire home/apt",5,2,2,60,1,365,27,60,180
"49","portugal","porto",2020-08-27,264087,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.15075,-8.6217,"Entire apartment","Entire home/apt",3,1,2,73,3,30,0,68.8333333333333,2065
"50","portugal","porto",2020-08-27,265819,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.1605,-8.6327,"Entire apartment","Entire home/apt",4,1,1,69,3,365,3,69,1863
"51","portugal","porto",2020-08-27,266970,"Avintes",41.11834,-8.54862,"Entire house","Entire home/apt",4,2,2,66,7,365,10,62.25,1245
"52","portugal","porto",2020-08-27,270094,"Lordelo do Ouro e Massarelos",41.15906,-8.63666,"Entire apartment","Entire home/apt",2,1,1,50,3,31,23,50,350
"53","portugal","porto",2020-08-27,273345,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14663,-8.60385,"Entire apartment","Entire home/apt",4,1,2,53,2,1125,17,57.4615384615385,747
"54","portugal","porto",2020-08-27,278886,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14653,-8.6023,"Entire apartment","Entire home/apt",4,1,2,48,2,365,11,57.1052631578947,1085
"55","portugal","porto",2020-08-27,313017,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14128,-8.61178,"Entire apartment","Entire home/apt",4,2,2,68,1,1825,0,68,2040
