"","listing_id","availability_30","price_30","revenue_30"
"1",96033,3,43,1161
"2",131725,0,49.9,1497
"3",155696,22,180,1440
"4",159650,14,60,960
"5",166473,0,19,570
"6",212845,20,39.5,395
"7",229511,21,200,1800
"8",340024,16,55,770
"9",358541,11,47.1052631578947,895
"10",412798,13,82,1394
"11",421077,30,NA,0
"12",422922,24,58.6666666666667,352
"13",427860,29,120,120
"14",461508,30,NA,0
"15",505688,30,NA,0
"16",507961,30,NA,0
"17",508787,30,NA,0
"18",509073,30,NA,0
"19",550804,20,300,3000
"20",551603,22,228.75,1830
"21",577612,24,147.5,885
"22",592667,0,85,2550
"23",603361,0,49.8,1494
"24",611037,15,79,1185
"25",633862,10,59.2,1184
"26",634046,17,79.2307692307692,1030
"27",652994,11,56.3157894736842,1070
"28",655701,2,91.8928571428571,2573
"29",663794,7,46.7391304347826,1075
"30",711328,0,98.5,2955
"31",718943,0,150,4500
"32",730157,28,60,120
"33",730403,22,30,240
"34",730431,23,30,210
"35",735155,29,70,70
"36",735157,29,75,75
"37",744037,30,NA,0
"38",746003,15,118.666666666667,1780
"39",750408,11,85,1615
"40",753119,20,125,1250
"41",753252,0,134.666666666667,4040
"42",783360,30,NA,0
"43",786626,29,54,54
"44",786648,30,NA,0
"45",786663,26,90,360
"46",787704,0,16,480
"47",790986,30,NA,0
"48",844426,29,200,200
"49",892057,0,81.3333333333333,2440
"50",905123,30,NA,0
"51",915854,28,117,234
"52",938024,0,81.3333333333333,2440
"53",954515,27,150,450
"54",954516,29,130,130
"55",964289,27,150,450
"56",966154,30,NA,0
"57",989188,12,70,1260
"58",989607,15,75,1125
"59",990183,30,NA,0
"60",997149,29,100,100
"61",999783,29,120,120
"62",1004920,30,NA,0
"63",1021360,30,NA,0
"64",1036605,0,67.5666666666667,2027
"65",1048083,0,39,1170
"66",1071665,21,39,351
"67",1076040,6,81.4166666666667,1954
"68",1123346,21,43.5555555555556,392
"69",1137631,18,64,768
"70",1164851,29,37,37
"71",1166198,0,81.3333333333333,2440
"72",1183888,0,58.1666666666667,1745
"73",1195793,23,71.2857142857143,499
"74",1218553,30,NA,0
"75",1223300,29,37,37
"76",1245707,10,47,940
"77",1249797,0,20,600
"78",1265238,0,19,570
"79",1274221,7,19,437
"80",1274222,0,17,510
"81",1297722,0,82.4,2472
"82",1306836,11,67.3684210526316,1280
"83",1312631,29,89,89
"84",1318808,28,80,160
"85",1331534,17,121.153846153846,1575
"86",1335244,0,108.9,3267
"87",1335782,28,35,70
"88",1339743,0,58.3333333333333,1750
"89",1359353,13,143.529411764706,2440
"90",1378908,23,39,273
"91",1392294,12,68.3333333333333,1230
"92",1403375,24,58,348
"93",1405715,29,85,85
"94",1437839,30,NA,0
"95",1449651,24,73.3333333333333,440
"96",1467406,0,35,1050
"97",1496065,6,35,840
"98",1498773,0,69.4333333333333,2083
"99",1514156,1,54.2068965517241,1572
"100",1536679,0,19,570
"101",1536774,0,19,570
"102",1564567,0,61,1830
"103",1596526,27,33.6666666666667,101
"104",1597241,29,95,95
"105",1603598,26,44.5,178
"106",1607390,30,NA,0
"107",1636054,0,93.3333333333333,2800
"108",1640548,0,73.1666666666667,2195
"109",1699106,29,40,40
"110",1699681,0,78.3333333333333,2350
"111",1730046,30,NA,0
"112",1754250,0,65,1950
"113",1757994,30,NA,0
"114",1788613,23,99.2857142857143,695
"115",1791340,29,60,60
"116",1792743,30,NA,0
"117",1797493,30,NA,0
"118",1800747,1,56.7586206896552,1646
"119",1818175,30,NA,0
"120",1820648,30,NA,0
"121",1825432,5,60.56,1514
"122",1836035,30,NA,0
"123",1867072,30,NA,0
"124",1874744,29,50,50
"125",1888913,30,NA,0
