"","listing_id","availability_30","price_30","revenue_30"
"1",11547,13,79.9411764705882,1359
"2",100831,30,NA,0
"3",105891,23,140,980
"4",106833,20,200,2000
"5",130669,30,NA,0
"6",133709,0,69,2070
"7",159218,30,NA,0
"8",160482,4,198.076923076923,5150
"9",164185,30,NA,0
"10",164364,27,18,54
"11",166820,27,50,150
"12",168668,15,150,2250
"13",168697,30,NA,0
"14",178456,30,NA,0
"15",193426,27,95,285
"16",210156,23,69,483
"17",232310,27,74,222
"18",233901,30,NA,0
"19",238799,29,185,185
"20",242962,30,NA,0
"21",252425,28,40,80
"22",255161,0,650,19500
"23",257206,28,48,96
"24",260247,28,89,178
"25",268350,30,NA,0
"26",277300,0,36,1080
"27",286091,29,85,85
"28",291211,30,NA,0
"29",321351,29,100,100
"30",323164,25,45,225
"31",324256,1,415.862068965517,12060
"32",327107,27,100,300
"33",328541,19,109,1199
"34",335672,30,NA,0
"35",337083,29,120,120
"36",338838,25,144,720
"37",339768,8,91.6363636363636,2016
"38",341274,0,160.533333333333,4816
"39",343193,0,143.7,4311
"40",351320,0,81.1666666666667,2435
"41",374120,18,182.833333333333,2194
"42",380469,0,80,2400
"43",382753,1,343.103448275862,9950
"44",393387,30,NA,0
"45",396659,30,NA,0
"46",398543,30,NA,0
"47",399804,0,66.6666666666667,2000
"48",416622,0,117.233333333333,3517
"49",417879,30,NA,0
"50",421828,30,NA,0
"51",429794,28,485,970
"52",430192,27,93,279
"53",432076,0,150,4500
"54",432183,1,78,2262
"55",440338,30,NA,0
"56",441723,28,69,138
"57",441930,30,NA,0
"58",441953,30,NA,0
"59",444577,27,170,510
"60",444745,30,NA,0
"61",446863,30,NA,0
"62",450379,23,400,2800
"63",451602,14,160,2560
"64",452268,30,NA,0
"65",453077,24,42,252
"66",453182,29,106,106
"67",454821,29,95,95
"68",465409,21,221.111111111111,1990
"69",467037,29,190,190
"70",471384,0,100,3000
"71",478923,25,208,1040
"72",480839,29,65,65
"73",483025,2,83.7142857142857,2344
"74",489119,30,NA,0
"75",489666,28,260,520
"76",493832,30,NA,0
"77",495837,28,200,400
"78",503253,0,198,5940
"79",503275,29,125,125
"80",503803,0,94.6666666666667,2840
"81",503914,30,NA,0
"82",511420,30,NA,0
"83",514072,29,80,80
"84",518800,25,150,750
"85",521554,0,120,3600
"86",523750,29,140,140
"87",526114,23,115,805
"88",528374,30,NA,0
"89",541088,15,151.666666666667,2275
"90",542639,0,39,1170
"91",546665,14,95,1520
"92",548218,19,75.3636363636364,829
"93",553166,23,120,840
"94",553546,0,299,8970
"95",557317,30,NA,0
"96",564914,29,39,39
"97",575431,30,NA,0
"98",583505,29,300,300
"99",584735,0,79,2370
"100",593604,28,60,120
"101",597134,0,90,2700
"102",601552,30,NA,0
"103",603369,25,253.8,1269
"104",603396,23,101,707
"105",606903,19,74.5454545454545,820
"106",611583,0,35.1666666666667,1055
"107",612483,27,26,78
"108",614722,4,142.615384615385,3708
"109",617531,1,47,1363
"110",617680,20,45,450
"111",621960,30,NA,0
"112",626614,21,167.777777777778,1510
"113",626624,25,83,415
"114",626625,26,120,480
"115",627366,4,346.230769230769,9002
"116",628519,28,254,508
"117",630859,18,242,2904
"118",635139,21,87.4444444444444,787
"119",636827,5,100,2500
"120",636974,30,NA,0
"121",637903,6,127.333333333333,3056
"122",638100,0,213.333333333333,6400
"123",638879,30,NA,0
"124",639787,17,68,884
"125",640379,17,153.846153846154,2000
"126",641406,14,113.125,1810
"127",642426,30,NA,0
"128",650416,19,295,3245
"129",655100,14,75,1200
"130",655298,29,82,82
"131",660315,0,61,1830
"132",661082,30,NA,0
"133",661111,24,342.333333333333,2054
"134",664451,19,35,385
"135",669295,16,22,308
"136",677602,17,395,5135
"137",679534,16,89,1246
"138",684725,18,114,1368
"139",686911,18,60,720
"140",689491,30,NA,0
"141",690300,29,40,40
"142",691442,0,178.666666666667,5360
"143",691585,21,165,1485
"144",698241,29,39,39
"145",702913,0,310,9300
"146",703815,4,22,572
"147",707379,27,39,117
"148",707452,28,78,156
"149",710900,16,200,2800
"150",711352,30,NA,0
"151",711976,27,175,525
"152",714301,20,400,4000
"153",715398,24,99,594
"154",732396,14,138.75,2220
"155",737169,28,220,440
"156",744288,30,NA,0
"157",744388,28,65,130
"158",745875,0,90.6666666666667,2720
"159",746847,0,100,3000
"160",763446,29,42,42
"161",765176,18,160,1920
"162",767234,11,136,2584
"163",768435,17,480,6240
"164",770549,19,880,9680
"165",773806,29,170,170
"166",780905,11,239.368421052632,4548
"167",790649,0,136.666666666667,4100
"168",802741,0,175,5250
"169",807292,0,70,2100
"170",808359,24,359,2154
"171",843097,0,190.2,5706
"172",850816,22,762.5,6100
"173",853627,7,137.826086956522,3170
"174",861054,24,24,144
"175",861395,6,137,3288
"176",864387,29,315,315
"177",866912,12,189.833333333333,3417
"178",873131,18,122,1464
"179",874365,28,194,388
"180",874366,29,187,187
"181",878953,30,NA,0
"182",883019,29,67,67
"183",886569,20,160,1600
"184",897331,25,112,560
"185",899914,25,161,805
"186",906734,22,74.25,594
"187",909420,17,301.692307692308,3922
"188",909632,29,192,192
"189",910263,3,100,2700
"190",911428,29,316,316
"191",915609,5,175.44,4386
"192",918276,28,190,380
"193",924385,30,NA,0
"194",926830,30,NA,0
"195",926968,30,NA,0
"196",928401,29,160,160
"197",928422,30,NA,0
"198",928607,4,86.0769230769231,2238
"199",929043,29,232,232
"200",929605,29,195,195
"201",931856,20,72.1,721
"202",933492,29,125,125
