"","listing_id","availability_30","price_30","revenue_30"
"1",32347,29,75,75
"2",49287,24,51,306
"3",94187,30,NA,0
"4",108568,29,60,60
"5",116703,23,60.7142857142857,425
"6",117278,30,NA,0
"7",120619,30,NA,0
"8",131987,30,NA,0
"9",144918,29,46,46
"10",159596,28,100,200
"11",179629,15,70,1050
"12",185356,3,110,2970
"13",201209,0,57.2666666666667,1718
"14",207702,0,55.3333333333333,1660
"15",217440,23,33.5714285714286,235
"16",219958,12,169.444444444444,3050
"17",227905,29,30,30
"18",229403,30,NA,0
"19",253430,30,NA,0
"20",266016,30,NA,0
"21",272934,29,75,75
"22",273981,29,75,75
"23",288900,30,NA,0
"24",298673,26,40,160
"25",315971,17,30,390
"26",321192,29,59,59
"27",343997,26,73,292
"28",366257,8,45.2272727272727,995
"29",369170,26,54.5,218
"30",369324,0,27.3333333333333,820
"31",384727,11,48,912
"32",394083,15,54.6666666666667,820
"33",394707,0,28,840
"34",398966,30,NA,0
"35",402692,30,NA,0
"36",408801,30,NA,0
"37",411569,30,NA,0
"38",426133,29,40,40
"39",426401,28,55,110
"40",427314,30,NA,0
"41",435402,0,59,1770
"42",443685,0,54,1620
"43",455380,29,150,150
"44",462899,14,299,4784
"45",471876,1,48,1392
"46",481991,29,70,70
"47",488406,30,NA,0
"48",493699,27,53,159
"49",518382,30,NA,0
"50",519320,0,28,840
"51",519393,0,28,840
"52",525845,19,65,715
"53",530580,26,90,360
"54",531891,30,NA,0
"55",532392,21,65.5555555555556,590
"56",540257,5,25.08,627
"57",554494,25,40,200
"58",556908,5,45.8,1145
"59",584921,27,37,111
"60",586027,28,55,110
"61",588962,29,104,104
"62",592830,29,90,90
"63",596803,12,45,810
"64",597776,29,85,85
"65",609522,30,NA,0
"66",613844,29,80,80
"67",619225,29,14,14
"68",629723,0,62,1860
"69",632876,30,NA,0
"70",636468,29,35,35
"71",649755,29,85,85
"72",650064,30,NA,0
"73",650131,28,95,190
"74",653664,30,NA,0
"75",653685,29,59,59
"76",656013,0,46.5333333333333,1396
"77",657565,22,76.875,615
"78",661655,29,105,105
"79",663489,28,95,190
"80",664655,30,NA,0
"81",670453,0,129.333333333333,3880
"82",671358,29,95,95
"83",677182,28,20,40
"84",678283,22,48.75,390
"85",683111,0,86.1333333333333,2584
"86",685699,0,86.1333333333333,2584
"87",688140,18,74.5833333333333,895
"88",692388,30,NA,0
"89",695151,29,65,65
"90",700074,30,NA,0
"91",700583,0,86.1333333333333,2584
"92",701737,28,39,78
"93",701999,0,82.6666666666667,2480
"94",702998,10,21.75,435
"95",704131,29,75,75
"96",705642,0,60,1800
"97",705652,30,NA,0
"98",705697,0,22,660
"99",714300,29,50,50
"100",714696,29,35,35
"101",721483,30,NA,0
"102",721598,30,NA,0
"103",721624,30,NA,0
"104",721753,27,63,189
"105",724060,30,NA,0
"106",724177,30,NA,0
"107",725287,7,20,460
"108",726220,30,NA,0
"109",726333,27,30,90
"110",726916,1,74.6551724137931,2165
"111",727016,30,NA,0
"112",727025,30,NA,0
"113",727030,30,NA,0
"114",727034,28,175,350
"115",730950,0,70.4333333333333,2113
"116",738380,0,66.1666666666667,1985
"117",738857,0,40.3666666666667,1211
"118",742801,17,78.2307692307692,1017
"119",743798,16,110,1540
"120",743907,23,75,525
"121",745304,30,NA,0
"122",749397,29,55,55
"123",751667,30,NA,0
"124",753178,28,50,100
"125",754512,30,NA,0
"126",755070,21,75,675
"127",758337,30,NA,0
"128",761721,30,NA,0
"129",761744,25,62.2,311
"130",764576,16,40,560
"131",765157,20,15.7,157
"132",771028,29,100,100
"133",771187,0,500,15000
"134",771293,0,500,15000
"135",772805,0,72,2160
"136",774772,15,14,210
"137",785089,30,NA,0
"138",786437,0,86.1333333333333,2584
"139",787061,0,79.3333333333333,2380
"140",791871,30,NA,0
"141",795085,29,95,95
"142",796804,29,30,30
"143",799176,19,14,154
"144",799368,28,59,118
"145",804296,30,NA,0
"146",809285,28,95,190
"147",814196,20,45,450
"148",814225,1,45,1305
"149",818206,30,NA,0
"150",820793,0,39,1170
"151",824832,28,30,60
"152",833978,30,NA,0
"153",838243,0,35,1050
"154",840208,30,NA,0
"155",846337,28,35,70
"156",848743,13,91.2352941176471,1551
"157",859816,29,76,76
"158",859880,25,60.4,302
"159",865708,26,57.5,230
"160",871206,7,280,6440
"161",876642,29,20,20
"162",877681,0,102.333333333333,3070
"163",878005,30,NA,0
"164",878615,30,NA,0
